k	separation1	separation2	separation3			
10	62873.3047372	1095156.18632	1220057.09423			
20	322382.887375	146678.915504	37305.2632966			
30	373709.816004	75999.8904644	203204.391585			
40	583.367400164	390.218652376	213.330439012			
50	13463.6912493	526.230871057	191.704254691			
60	25.6004150255	209.635358441	264.031248734			
70	3989.13176108	128698.011899	112581.650483			
80	3815.86546602	606.923876841	91318.7511952			
90	128890.915438	39.7641160921	5304.30008778			
100	26.627826286	13.1074224096	10.7272652969			
