ebno,Spectral.Efficiency,Time.Slot
0,0.0,Nio1
1,0.237353246822,Nio1
2,0.441118002081,Nio1
3,0.619632774429,Nio1
4,0.778471050403,Nio1
5,0.921543009056,Nio1
6,1.05169789162,Nio1
7,1.17107618229,Nio1
8,1.28132678796,Nio1
9,1.38374691864,Nio1
10,1.47937550089,Nio1
0,0.0,Nio2
1,0.360514619844,Nio2
2,0.648711690934,Nio2
3,0.888812484762,Nio2
4,1.0945976419,Nio2
5,1.27466059993,Nio2
6,1.43472307593,Nio2
7,1.57878731572,Nio2
8,1.70976276218,Nio2
9,1.82983092417,Nio2
10,1.940669629,Nio2
0,0.0,Nio3
1,0.473362383912,Nio3
2,0.829186143072,Nio3
3,1.11438316364,Nio3
4,1.35240013699,Nio3
5,1.55665357382,Nio3
6,1.73554316241,Nio3
7,1.89467803347,Nio3
8,2.03799053863,Nio3
9,2.1683444351,Nio3
10,2.28789010876,Nio3
0,0.0,Nio4
1,0.577808073571,Nio4
2,0.989255010396,Nio4
3,1.30902447062,Nio4
4,1.57061799021,Nio4
5,1.79198032531,Nio4
6,1.98385235563,Nio4
7,2.1531758113,Nio4
8,2.30469748747,Nio4
9,2.44180700483,Nio4
10,2.56700946605,Nio4
0,0.0,Nio5
1,0.675105536879,Nio5
2,1.1331867874,Nio5
3,1.48033788403,Nio5
4,1.75994591967,Nio5
5,1.99406115173,Nio5
6,2.1954362467,Nio5
7,2.37211492628,Nio5
8,2.52949829071,Nio5
9,2.67138897891,Nio5
10,2.80056566767,Nio5
0,0.0,Nio6
1,0.766204393861,Nio6
2,1.26398298141,Nio6
3,1.63336972875,Nio6
4,1.92719751566,Nio6
5,2.17118963033,Nio6
6,2.37982486959,Nio6
7,2.56206528081,Nio6
8,2.72384556467,Nio6
9,2.86929961498,Nio6
10,3.00142262959,Nio6
0,0.0,Nio7
1,0.851862456666,Nio7
2,1.38386116989,Nio7
3,1.77166932066,Nio7
4,2.07700965772,Nio7
5,2.32887864508,Nio7
6,2.54324252835,Nio7
7,2.72983674584,Nio7
8,2.89503791418,Nio7
9,3.04325077299,Nio7
10,3.177645772,Nio7
0,0.0,Nio8
1,0.93270080946,Nio8
2,1.49451404809,Nio8
3,1.89783611608,Nio8
4,2.21268901357,Nio8
5,2.47098727073,Nio8
6,2.68998718414,Nio8
7,2.88008263562,Nio8
8,3.04802147439,Nio8
9,3.19843366661,Nio8
10,3.33463423776,Nio8
0,0.0,Nio9
1,1.00923729703,Nio9
2,1.5972658001,Nio9
3,2.01383386057,Nio9
4,2.33667951336,Nio9
5,2.60032530042,Nio9
6,2.82315426406,Nio9
7,3.01612666207,Nio9
8,3.18630619445,Nio9
9,3.33851288032,Nio9
10,3.47618295832,Nio9
0,0.0,Nio10
1,1.08190923545,Nio10
2,1.69317300064,Nio10
3,2.12118348207,Nio10
4,2.45083973833,Nio10
5,2.71900334834,Nio10
6,2.9450483542,Nio10
7,3.1404268146,Nio10
8,3.31247420557,Nio10
9,3.46617296544,Nio10
10,3.60506237176,Nio10
